arm,seed,float_ppl,float_t1,float_t3,int8_ppl,int8_t1,params_k,state,macC_k
single_base,1337,4.630,0.542,0.753,4.632,0.542,24,72,23
single_base,7,4.701,0.542,0.750,4.705,0.542,24,72,23
single_wide,1337,4.498,0.552,0.758,4.498,0.552,32,86,31
single_wide,7,4.467,0.552,0.761,4.472,0.552,32,86,31
tt_gru,1337,4.563,0.545,0.755,4.564,0.545,32,96,23
tt_gru,7,4.547,0.545,0.757,4.549,0.545,32,96,23
tt_lstm,1337,4.577,0.545,0.755,4.578,0.545,34,120,23
tt_rnn,1337,4.568,0.545,0.754,4.568,0.545,27,96,23
tt_gru_aux_char2,1337,4.573,0.546,0.756,4.577,0.545,34,96,23
tt_gru_aux_char3,1337,4.599,0.543,0.754,4.600,0.543,34,96,23
tt_gru_aux_word,1337,4.597,0.546,0.753,4.599,0.546,32,96,23
tt_gru_aux_all,1337,4.582,0.545,0.755,4.583,0.545,38,96,23
tt_gru_bnd_space,1337,4.563,0.545,0.755,4.564,0.545,32,96,23
tt_gru_distill,1337,4.588,0.541,0.752,4.592,0.541,32,96,23
wide_distill,1337,4.485,0.549,0.757,4.488,0.549,32,86,31
"DEPLOY_tt_gru72_distill(24k,warm)",1337,4.6960,0.5475,0.7585,4.8785,0.5393,62,116,50
single_wide72,1337,5.0176,0.5422,0.7463,5.0211,0.5422,54,106,52
tt_gru72,1337,4.9765,0.5413,0.7480,4.9833,0.5415,52,116,38
