approach,name,kb,ppl,t1,t3
dense_nn,nn_64k,62.4,4.65,0.5492,0.7608
dense_nn,nn_128k,127.5,4.04,0.5872,0.7874
dense_nn,nn_256k,268.7,3.623,0.6143,0.8052
dense_nn,nn_256k_fl2,262.5,3.578,0.6163,0.8078
dense_nn,nn_400k,403.3,3.421,0.6299,0.817
dense_nn,nn_460k,468.2,3.38,0.6327,0.8189
markov_mkn,2gram,7.8,13.434,0.27,0.5025
markov_mkn,3gram,121.6,8.502,0.381,0.6319
markov_mkn,4gram,857.5,5.607,0.488,0.7359
markov_mkn,5gram,3702.2,4.494,0.5578,0.7853
markov_mkn,6gram,11672.1,4.128,0.5988,0.8023
markov_mkn,7gram,30020.7,4.011,0.6186,0.8129
markov_mkn,8gram,66055.1,4.023,0.6289,0.8178
markov_wb,2gram,7.8,13.432,0.27,0.5025
markov_wb,3gram,121.6,8.495,0.3811,0.6319
markov_wb,4gram,857.5,5.611,0.488,0.7359
markov_wb,5gram,3702.2,4.513,0.5576,0.7851
markov_wb,6gram,11672.1,4.174,0.5992,0.8016
markov_wb,7gram,30020.7,4.088,0.6183,0.8118
markov_wb,8gram,66055.1,4.156,0.6279,0.8162
sparse_nn,nn_460k_sp50,306.9,3.527,0.623,0.812
sparse_nn,nn_460k_sp75,199.4,4.147,0.5797,0.7834
kgram_mlp,sum_k8_D64_H256_L2,244.3,5.45,0.5169,0.7344
kgram_mlp,concat_k4_D64_H256_L2,220.3,5.42,0.5179,0.7354
kgram_mlp,concat_k8_D48_H256_L2,288.3,5.123,0.5346,0.7439
kgram_mlp,concat_k8_D64_H512_L3,954.3,4.394,0.5695,0.7715
kgram_mlp,concat_k16_D32_H384_L2,510.3,4.806,0.5496,0.7558
kgram_mlp,sum_k16_D128_H512_L2,936.3,4.627,0.5556,0.7624
