step,sparsity,nonzero,free_kb,float_ppl,float_t1,float_t3,int8_ppl,int8_t1,int8_t3
0,0.0,440448,468.2,3.38,0.6328,0.8189,3.38,0.6328,0.8189
2500,0.0348,425116,453.2,3.413,0.6295,0.8174,3.416,0.6295,0.8174
5000,0.196,354106,383.9,3.435,0.6283,0.8163,3.436,0.6279,0.8157
7500,0.3369,292071,323.3,3.463,0.6248,0.8149,3.462,0.6241,0.8149
10000,0.4587,238406,270.9,3.553,0.6169,0.8096,3.558,0.6163,0.8095
12500,0.5629,192504,226.1,3.651,0.6092,0.806,3.654,0.609,0.8057
15000,0.6509,153758,188.2,3.753,0.6043,0.8005,3.756,0.6038,0.8004
17500,0.724,121562,156.8,3.862,0.5964,0.7956,3.864,0.5963,0.7952
20000,0.7836,95310,131.1,3.999,0.5876,0.7896,3.998,0.5873,0.7897
22500,0.8311,74395,110.7,4.221,0.5696,0.7803,4.224,0.5692,0.7804
25000,0.8678,58210,94.9,4.41,0.5624,0.7716,4.41,0.5626,0.7716
27500,0.8952,46149,83.1,4.576,0.5458,0.765,4.576,0.5454,0.7645
30000,0.9146,37606,74.8,4.832,0.5358,0.7547,4.829,0.5357,0.7543
32500,0.9274,31974,69.3,5.04,0.524,0.7508,5.038,0.5241,0.7503
35000,0.935,28646,66.0,4.947,0.5284,0.7514,4.949,0.5284,0.7511
37500,0.9387,27017,64.4,4.976,0.5272,0.7496,4.978,0.5267,0.7492
40000,0.9399,26479,63.9,4.94,0.5313,0.7519,4.946,0.5306,0.752
42500,0.94,26427,63.9,4.91,0.5325,0.7536,4.911,0.5322,0.7535
45000,0.94,26427,63.9,4.909,0.5327,0.7535,4.91,0.5322,0.7537
