step,sparsity,nonzero,free_kb,float_ppl,float_t1,float_t3,int8_ppl,int8_t1,int8_t3
0,0.0,440448,468.2,3.262,0.6419,0.8252,3.262,0.6419,0.8252
2500,0.0348,425116,453.2,3.38,0.6314,0.8198,3.381,0.6313,0.82
5000,0.196,354106,383.9,3.377,0.6311,0.821,3.378,0.6311,0.8205
7500,0.3369,292071,323.3,3.461,0.6236,0.815,3.463,0.6234,0.8148
10000,0.4587,238406,270.9,3.6,0.6147,0.8089,3.603,0.6142,0.8087
12500,0.5629,192504,226.1,3.724,0.6035,0.8022,3.727,0.6032,0.8017
15000,0.6509,153758,188.2,3.767,0.6034,0.8013,3.771,0.6029,0.8001
17500,0.724,121562,156.8,3.818,0.5994,0.7971,3.82,0.5993,0.7975
20000,0.7836,95310,131.1,3.868,0.5965,0.7951,3.872,0.5957,0.7949
22500,0.8311,74395,110.7,3.94,0.5908,0.791,3.941,0.5903,0.7907
25000,0.8678,58210,94.9,4.031,0.5869,0.7885,4.032,0.5866,0.7888
27500,0.8952,46149,83.1,4.185,0.5739,0.7819,4.19,0.573,0.7814
30000,0.9146,37606,74.8,4.266,0.5714,0.7801,4.27,0.5709,0.7799
32500,0.9274,31974,69.3,4.378,0.5633,0.7757,4.381,0.5631,0.7758
35000,0.935,28646,66.0,4.405,0.5622,0.7738,4.401,0.5626,0.7743
37500,0.9387,27017,64.4,4.402,0.5641,0.7754,4.403,0.5637,0.775
40000,0.9399,26479,63.9,4.447,0.5612,0.7744,4.45,0.5611,0.7742
42500,0.94,26427,63.9,4.491,0.5586,0.7708,4.491,0.558,0.7715
45000,0.94,26427,63.9,4.457,0.5609,0.7736,4.455,0.5616,0.7728
