variant,config,kb,kb_pke,int8_ppl,ppl_std,t1,t3,n,on_deploy_frontier
confirm,confirm_base_400,403.3,0.0,3.404,0.012,0.6355,0.8196,3,yes
confirm,confirm_fmlpres_400,403.7,15.75,3.393,0.002,0.6362,0.8201,3,yes
confirm,confirm_addstate_400,403.7,15.75,3.442,0.015,0.6328,0.8177,3,
confirm,confirm_concat_400,406.4,15.75,3.459,0.044,0.6327,0.8171,3,
fuse,fuse_s170_k7D16_A,212.8,15.75,3.702,0.001,0.6115,0.8028,2,
fuse,fuse_s170_k7D16_B,212.8,15.75,3.641,0.011,0.6154,0.8069,2,
fuse,fuse_s360_k7D16_A,477.9,15.75,3.377,0,0.638,0.8201,1,
fuse,fuse_s360_k7D16_B,477.9,15.75,3.354,0,0.6385,0.8215,1,
grok,grok_fuse_ext,212.8,15.75,3.619,0,0.6166,0.8083,1,
grok,grok_fmlp_ext,213.0,15.75,3.654,0,0.6149,0.8053,1,
gru,base_s100,84.8,0.0,4.248,0,0.5759,0.7796,1,yes
gru,fmlp_res_k7_D16_Hf2kD_s100,135.8,15.75,3.941,0,0.5972,0.7923,1,yes
gru,base_s170,172.3,0.0,3.767,0,0.6077,0.8022,1,yes
gru,replace_fmlp_k7_D4_HfkD_s170,178.9,3.94,4.127,0,0.5854,0.7853,1,
gru,concat_k7_D8_s170,184.1,7.88,3.727,0,0.6095,0.8027,1,yes
gru,replace_fmlp_k7_D8_HfkD_s170,186.7,7.88,3.989,0,0.5952,0.7927,1,
gru,sparse_k7_Dh112_nnz8_s170,192.7,14.77,58.053,0,0.1613,0.3436,1,
gru,fmlp_res_k7_D8_Hf2kD_s170,192.8,7.88,3.655,0,0.6156,0.8062,1,yes
gru,concat_k7_D16_s170,195.9,15.75,3.776,0,0.608,0.8007,1,
gru,replace_fmlp_k7_D16_HfE_s170,196.3,15.75,4.008,0,0.5964,0.7903,1,
gru,fmlp_res_k7_D16_HfE_s170,196.3,15.75,3.683,0,0.6125,0.8035,1,
gru,sparse_k7_Dh112_nnz16_s170,200.6,22.64,18.069,0,0.2687,0.5156,1,
gru,replace_fmlp_k7_D16_HfkD_s170,206.8,15.75,3.891,0,0.5985,0.7985,1,
gru,fmlp_res_k7_D16_HfkD_s170,206.8,15.75,3.665,0,0.6156,0.8048,1,
gru,addstate_k7_D16_s170,212.5,15.75,3.752,0,0.6102,0.8011,1,
gru,sparse_k7_Dh224_nnz16_s170,212.7,29.53,21.423,0,0.2459,0.4846,1,
gru,replace_fmlp_k7_D16_Hf2kD_s170,225.2,15.75,3.88,0,0.6023,0.7998,1,
gru,fmlp_res_k7_D16_Hf2kD_s170,225.2,15.75,3.607,0,0.6203,0.809,1,yes
gru,replace_fmlp_k12_D16_HfkD_s170,246.2,27.0,3.84,0,0.6031,0.799,1,
gru,addstate_k7_D32_s170,251.9,31.5,3.704,0,0.6118,0.8049,1,
gru,replace_fmlp_k7_D32_HfkD_s170,265.4,31.5,3.787,0,0.6069,0.803,1,
gru,base_s260,282.4,0.0,3.538,0,0.6253,0.8125,1,yes
gru,fmlp_res_k7_D32_Hf2kD_s170,326.7,31.5,3.567,0,0.6233,0.8104,1,
gru,fmlp_res_k7_D16_Hf2kD_s260,337.1,15.75,3.464,0,0.6319,0.8148,1,yes
gru,base_s360,437.4,0.0,3.35,0,0.6386,0.8234,1,yes
gru,concat_k7_D16_s360,461.1,15.75,3.376,0,0.6378,0.8201,1,
gru,fmlp_res_k7_D16_Hf2kD_s360,493.9,15.75,3.337,0,0.642,0.8225,1,yes
sparse2,sparse_res_k7_Dh112_nnz8_s170,224.2,14.77,11.265,0,0.306,0.5463,1,
sparse2,sparse_res_k7_Dh112_nnz16_s170,232.1,22.64,3.628,0.014,0.6158,0.8068,2,
standalone,pke_sum_k7_D16_H128_L1,28.3,15.75,6.713,0,0.4639,0.689,1,
standalone,mlp_head_k7_D32_H256_L2,103.6,0.0,10.994,0,0.3537,0.5604,1,
standalone,pke_sum_k7_D16_H256_L2,106.3,15.75,4.64,0,0.5576,0.7675,1,
standalone,pke_cat_k7_D8_H256_L2,108.4,7.88,4.441,0,0.5697,0.7757,1,
standalone,pke_cat_k4_D16_H256_L2,111.6,9.0,4.654,0,0.5431,0.7703,1,
standalone,pke_sum_k4_D32_H256_L2,112.6,18.0,4.72,0,0.5441,0.7677,1,
standalone,pke_sum_k12_D16_H256_L2,117.6,27.0,4.543,0,0.5655,0.7714,1,
standalone,pke_cat_k12_D8_H256_L2,124.1,13.5,4.379,0,0.5723,0.7774,1,
standalone,pke_sum_k7_D32_H256_L2,126.1,31.5,4.408,0,0.5712,0.7755,1,
standalone,pke_cat_k7_D16_H256_L2,130.3,15.75,4.298,0,0.577,0.7791,1,
standalone,pke_cat_k4_D32_H256_L2,136.6,18.0,4.596,0,0.5456,0.7729,1,
standalone,pke_sum_k12_D32_H256_L2,148.6,54.0,4.339,0,0.5745,0.7785,1,
standalone,pke_sum_k7_D32_H512_L3,608.1,31.5,3.841,0,0.6125,0.8054,1,
