variant,config,seed,kb,kb_int8,kb_pke,kb_f32,macc,params,float_ppl,ppl,t1,t3,steps,batch,seq,time_s
standalone,mlp_head_k7_D32_H256_L2,0,103.6,92.3,0.0,11.3,94464,95048,11.221,11.243,0.347,0.5549,15000,512,96,161.5
standalone,pke_sum_k4_D32_H256_L2,0,112.6,92.3,18.0,2.3,92160,101960,4.781,4.798,0.5417,0.7615,15000,512,96,169.2
standalone,pke_sum_k7_D16_H256_L2,0,106.3,88.3,15.75,2.3,88064,96712,4.786,4.803,0.5499,0.7608,15000,512,96,212.1
standalone,pke_sum_k7_D32_H256_L2,0,126.1,92.3,31.5,2.3,92160,108872,4.508,4.513,0.5634,0.7703,15000,512,96,217.1
standalone,pke_sum_k12_D16_H256_L2,0,117.6,88.3,27.0,2.3,88064,102472,4.72,4.73,0.5528,0.7639,15000,512,96,328.2
standalone,pke_sum_k12_D32_H256_L2,0,148.6,92.3,54.0,2.3,92160,120392,4.417,4.442,0.568,0.7742,15000,512,96,337.3
standalone,pke_cat_k4_D16_H256_L2,0,111.6,100.3,9.0,2.3,100352,105544,4.735,4.743,0.5436,0.7669,15000,512,96,164.4
standalone,pke_cat_k4_D32_H256_L2,0,136.6,116.3,18.0,2.3,116736,126536,4.639,4.647,0.5449,0.7683,15000,512,96,167.9
standalone,pke_cat_k7_D8_H256_L2,0,108.4,98.3,7.88,2.3,98304,102920,4.563,4.569,0.5624,0.7688,15000,512,96,205.7
standalone,pke_cat_k7_D16_H256_L2,0,130.3,112.3,15.75,2.3,112640,121288,4.38,4.388,0.5704,0.7755,15000,512,96,209.1
standalone,pke_cat_k12_D8_H256_L2,0,124.1,108.3,13.5,2.3,108544,116040,4.5,4.51,0.5654,0.7706,15000,512,96,321.5
standalone,pke_sum_k7_D16_H128_L1,0,28.3,11.8,15.75,0.8,11264,19528,6.778,6.799,0.4591,0.6852,15000,512,96,166.7
standalone,pke_sum_k7_D32_H512_L3,0,608.1,570.3,31.5,6.3,577536,595272,3.814,3.822,0.61,0.8037,15000,512,96,460.9
gru,base_s100,0,84.8,70.0,0.0,14.7,71040,71928,4.426,4.436,0.5663,0.7714,10000,512,96,1381.0
gru,base_s170,0,172.3,153.5,0.0,18.8,155136,156504,3.859,3.863,0.6012,0.796,10000,512,96,1500.1
gru,base_s260,0,282.4,259.6,0.0,22.8,262656,264456,3.616,3.619,0.6188,0.8059,10000,512,96,1536.6
gru,base_s360,0,437.4,410.5,0.0,26.9,415872,418152,3.43,3.433,0.6321,0.8174,10000,512,96,1762.3
gru,replace_sum_k7_D16_s170,0,173.8,139.2,15.75,18.8,140544,149976,4.122,4.13,0.5864,0.7849,10000,512,96,1545.2
