variant,config,seed,kb,kb_int8,kb_pke,kb_f32,macc,params,float_ppl,ppl,t1,t3,best_step,stop_reason,mon_ppl,batch,seq,time_s
gru,base_s100,0,84.8,70.0,0.0,14.7,71040,71928,4.245,4.248,0.5759,0.7796,54000,decayed,4.207,512,96,7552.2
gru,base_s170,0,172.3,153.5,0.0,18.8,155136,156504,3.764,3.767,0.6077,0.8022,44000,decayed,3.794,512,96,6229.6
gru,base_s260,0,282.4,259.6,0.0,22.8,262656,264456,3.536,3.538,0.6253,0.8125,54000,decayed,3.819,512,96,50626.0
gru,base_s360,0,437.4,410.5,0.0,26.9,415872,418152,3.342,3.35,0.6386,0.8234,62000,decayed,3.464,512,96,10392.7
gru,replace_fmlp_k7_D4_HfkD_s170,0,178.9,155.8,3.94,19.1,157264,160724,4.114,4.127,0.5854,0.7853,65000,decayed,4.087,512,96,22580.6
gru,replace_fmlp_k7_D8_HfkD_s170,0,186.7,159.6,7.88,19.2,160960,166464,3.982,3.989,0.5952,0.7927,81000,decayed,3.973,512,96,12138.3
gru,replace_fmlp_k7_D16_HfkD_s170,0,206.8,171.6,15.75,19.5,173056,182648,3.866,3.891,0.5985,0.7985,67000,decayed,4.143,512,96,10330.9
gru,replace_fmlp_k7_D32_HfkD_s170,0,265.4,214.0,31.5,19.9,216064,233832,3.773,3.787,0.6069,0.803,53000,decayed,3.853,512,96,8305.1
gru,replace_fmlp_k7_D16_HfE_s170,0,196.3,161.3,15.75,19.2,162816,172344,3.994,4.008,0.5964,0.7903,69000,decayed,3.917,512,96,19195.8
gru,replace_fmlp_k7_D16_Hf2kD_s170,0,225.2,189.5,15.75,19.9,190976,200680,3.864,3.88,0.6023,0.7998,58000,decayed,3.885,512,96,19219.6
gru,replace_fmlp_k12_D16_HfkD_s170,0,246.2,199.4,27.0,19.8,201216,216648,3.845,3.84,0.6031,0.799,50000,decayed,3.879,512,96,13048.1
gru,fmlp_res_k7_D8_Hf2kD_s170,0,192.8,165.5,7.88,19.5,166784,172344,3.646,3.655,0.6156,0.8062,73000,decayed,3.67,512,96,10823.2
