variant,size,seed,params,macs,ppl,t1
standard,d32_h32,0,2080,2048,14.983,0.2718
standard,d32_h32,1,2080,2048,14.965,0.2756
standard,d32_h32,2,2080,2048,15.001,0.2704
standard,d32_h32,3,2080,2048,14.889,0.2714
standard,d32_h32,4,2080,2048,15.082,0.2638
unrolled,d32_h32,0,2080,2048,14.876,0.2709
unrolled,d32_h32,1,2080,2048,14.737,0.2789
unrolled,d32_h32,2,2080,2048,14.643,0.278
unrolled,d32_h32,3,2080,2048,14.785,0.2769
unrolled,d32_h32,4,2080,2048,14.734,0.2732
standard,d48_h64,0,6208,6144,13.73,0.301
standard,d48_h64,1,6208,6144,13.72,0.3036
standard,d48_h64,2,6208,6144,13.687,0.2966
standard,d48_h64,3,6208,6144,13.8,0.2958
standard,d48_h64,4,6208,6144,13.812,0.2975
unrolled,d48_h64,0,6208,6144,13.304,0.3011
unrolled,d48_h64,1,6208,6144,13.262,0.305
unrolled,d48_h64,2,6208,6144,13.246,0.3111
unrolled,d48_h64,3,6208,6144,13.257,0.3069
unrolled,d48_h64,4,6208,6144,13.35,0.3033
standard,d32_h64,0,4160,4096,14.123,0.2925
standard,d32_h64,1,4160,4096,14.33,0.2866
standard,d32_h64,2,4160,4096,14.162,0.293
standard,d32_h64,3,4160,4096,14.25,0.2889
standard,d32_h64,4,4160,4096,14.098,0.2923
unrolled,d32_h64,0,4160,4096,13.828,0.2969
unrolled,d32_h64,1,4160,4096,13.907,0.2956
unrolled,d32_h64,2,4160,4096,13.75,0.2995
unrolled,d32_h64,3,4160,4096,13.987,0.2938
unrolled,d32_h64,4,4160,4096,13.851,0.2968
